item_no,query_id,crop,regime,query_bn,query_en,response_bn,response_en,rating,confidence,notes
11,audit_q_11,Rice (ধান),Grounded Advisory (Fenced RAG),"ধানের শীষ সাদা হয়ে যাচ্ছে, ভিতরে চাল নেই, কি হয়েছে?","Rice panicles are turning white with no grains inside, what happened?",শীষ সাদা হয়ে যাওয়া ধানের ব্লাস্ট রোগ (নেক ব্লাস্ট) অথবা মাঝরা পোকার আক্রমণের লক্ষণ। শীষের গোড়ায় কালো দাগ থাকলে তা নেক ব্লাস্ট; এর জন্য ট্রাইসাইক্লাজোল ৭৫ ডব্লিউপি (যেমন ট্রুপার) প্রতি লিটার পানিতে ০.৭৫ গ্রাম হারে স্প্রে করুন। পোকার লক্ষণ থাকলে গোড়া কেটে পরীক্ষা করুন।,"White panicles (whiteheads) result from neck blast or stem borer damage. If a black ring is visible at the panicle base, it is neck blast; spray Tricyclazole 75 WP (e.g. Trooper) at 0.75 g/L. If borer damage is suspected, inspect the stem base.",,,
12,audit_q_12,Chilli (মরিচ),Grounded Advisory (Fenced RAG),"মরিচ পচে ঝরে পড়ছে, ফল পচা রোগ দমন করব কীভাবে?","Chilli fruits are rotting and dropping, how to control fruit rot?",মরিচের ফল পচা বা অ্যানথ্রাকনোজ দমনে প্রোপিকোনাজোল ২৫০ ইসি প্রতি লিটার পানিতে ০.৫ মিলি অথবা কপার অক্সিক্লোরাইড প্রতি লিটার পানিতে ৪ গ্রাম হারে স্প্রে করুন। আক্রান্ত ফল সংগ্রহ করে ধ্বংস করুন।,"To manage chilli fruit rot (anthracnose), spray Propiconazole 250 EC at 0.5 ml/L of water or Copper Oxychloride at 4 g/L. Collect and destroy affected fruits.",,,
13,audit_q_13,Tomato (টমেটো),Grounded Advisory (Fenced RAG),"টমেটো গাছে সাদা মাছি আক্রমণ করেছে, পাতা হলুদ হচ্ছে।","Whiteflies have attacked tomato plants, leaves turning yellow.",টমেটোর সাদা মাছি দমনে হলুদ আঠালো ফাঁদ (ইয়েলো স্টিকি ট্র্যাপ) স্থাপন করুন। রাসায়নিকভাবে দমনের জন্য অ্যাসিটামিপ্রিড ২০ এসপি প্রতি লিটার পানিতে ০.২ গ্রাম অথবা থায়ামেথোক্সাম ০.৫ গ্রাম হারে স্প্রে করুন।,"To manage tomato whiteflies, install yellow sticky traps. For chemical control, spray Acetamiprid 20 SP at 0.2 g/L or Thiamethoxam at 0.5 g/L of water.",,,
14,audit_q_14,Wheat (গম),Grounded Advisory (Fenced RAG),গমের ব্লাস্ট রোগ প্রতিরোধের জন্য অনুমোদিত ওষুধ কোনটি?,Which registered fungicide prevents wheat blast disease?,গমের ব্লাস্ট রোগ প্রতিরোধে শীষ বের হওয়ার সময় নাতীয়ো ৭৫ ডব্লিউজি (টেবুকোনাজোল + ট্রাইফ্লক্সিস্ট্রবিন) প্রতি লিটার পানিতে ০.৭৫ গ্রাম অথবা ফলিকুর প্রতি লিটার পানিতে ১ মিলি হারে শেষ বিকেলে স্প্রে করুন। দ্বিতীয় স্প্রে ৭-১০ দিন পর দিতে হবে।,"To prevent wheat blast, spray Nativo 75 WG (Tebuconazole + Trifloxystrobin) at 0.75 g/L or Folicur at 1 ml/L at heading stage during late afternoon. Repeat 7-10 days later.",,,
15,audit_q_15,Rice (ধান),Grounded Advisory (Fenced RAG),ধানের খোলপোড়া রোগ প্রতিরোধে কি প্রয়োগ করতে হবে?,What should be applied to prevent sheath blight in rice?,ধানের খোলপোড়া (শীথ ব্লাইট) দমনে হেক্সাকোনাজোল ৫ ইসি প্রতি লিটার পানিতে ১ মিলি অথবা ভ্যালিডামাইসিন ৩ এল প্রতি লিটার পানিতে ২ মিলি হারে গাছের গোড়া ভিজিয়ে স্প্রে করুন। জমিতে অতিরিক্ত ইউরিয়া ব্যবহার বন্ধ রাখুন।,"To control rice sheath blight, spray Hexaconazole 5 EC at 1 ml/L or Validamycin 3 L at 2 ml/L, thoroughly wetting the plant base. Avoid excess urea application.",,,
16,audit_q_16,Potato (আলু),Grounded Advisory (Fenced RAG),"আলু কাটার সময় যদি দাগ দেখা যায়, তবে কি সার ঘাটতি?","If black spots appear inside potatoes when cut, is it fertilizer deficiency?",আলুর ভেতরের কালো বা বাদামি দাগ সাধারণত বোরন অথবা ক্যালসিয়ামের ঘাটতি এবং অনিয়মিত সেচের কারণে হয় (ইন্টারনাল ব্রাউনিং)। জমিতে অনুমোদিত মাত্রায় বোরাক্স (প্রতি বিঘায় ১.৫-২ কেজি) প্রয়োগ করুন এবং সেচ নিয়মিত রাখুন। রোগাক্রান্ত হলে ল্যাবরেটরিতে পরীক্ষা করান।,Internal black or brown discoloration in potatoes is usually caused by Boron or Calcium deficiency combined with irregular watering (internal brown spot). Apply Borax at 1.5-2 kg/bigha and maintain consistent soil moisture. Have severe cases lab-tested.,,,
17,audit_q_17,Eggplant (বেগুন),Grounded Advisory (Fenced RAG),"বেগুন গাছে লাল মাকড়সার জাল ও আক্রমণ হয়েছে, করণীয় কি?","Red spider mites have formed webs on eggplant leaves, what to do?",বেগুনের লাল মাকড় দমনে এবামেকটিন ১.২ ইসি প্রতি লিটার পানিতে ১ মিলি অথবা প্রোপারগাইট ৫৭ ইসি প্রতি লিটার পানিতে ২ মিলি হারে পাতার নিচের দিকে স্প্রে করুন। স্প্রে করার সময় মাস্ক ব্যবহার করুন।,"To control red spider mites in brinjal, spray Abamectin 1.2 EC at 1 ml/L or Propargite 57 EC at 2 ml/L on leaf undersides. Wear a protective mask while spraying.",,,
18,audit_q_18,Corn (ভুট্টা),Grounded Advisory (Fenced RAG),"ভুট্টায় ফল আর্মিওয়ার্ম আক্রমণ করেছে, নতুন পাতার ডগা খাচ্ছে।","Fall armyworm has attacked maize, eating new whorl leaves.",ভুট্টার ফল আর্মিওয়ার্ম দমনে স্পাইনোটোরাম ১১.৭ এসসি (যেমন সামিপ্রাইম) প্রতি লিটার পানিতে ০.৫ মিলি অথবা এমামেকটিন বেনজোয়েট প্রতি লিটার পানিতে ১ গ্রাম হারে সরাসরি পাতার নলের (হোর্ল) ভিতরে স্প্রে করুন।,"To control fall armyworm in maize, spray Spinetoram 11.7 SC at 0.5 ml/L or Emamectin Benzoate at 1 g/L directly into the plant whorl.",,,
19,audit_q_19,Mustard (সরিষা),Grounded Advisory (Fenced RAG),সরিষার অল্টারনারিয়া ব্লাইট বা পাতার দাগ রোগ হলে কি করব?,What to do for Alternaria blight or leaf spot in mustard?,সরিষার অল্টারনারিয়া পাতা ঝলসানো রোগ দমনে রোভরাল ৫০ ডব্লিউপি (আইপ্রোডিয়ন) প্রতি লিটার পানিতে ২ গ্রাম হারে ১০ দিন পর পর ২-৩ বার স্প্রে করুন। বীজ বপনের পূর্বে প্রোভ্যাক্স ২০০ দিয়ে বীজ শোধন করুন।,"For Alternaria blight in mustard, spray Rovral 50 WP (Iprodione) at 2 g/L every 10 days 2-3 times. Treat seeds with Provax 200 before sowing in subsequent seasons.",,,
20,audit_q_20,Rice (ধান),Grounded Advisory (Fenced RAG),ধানের জমিতে ঘাস ও আগাছা মারার জন্য অনুমোদিত আগাছানাশক কি?,What is the approved herbicide for weed control in rice fields?,ধানের চারা রোপণের ৫-৭ দিনের মধ্যে প্রি-ইমার্জেন্স আগাছানাশক হিসেবে পাইরাজোসালফিউরন ইথাইল (যেমন সাথী ১০ ডব্লিউপি) প্রতি বিঘায় ২০ গ্রাম হারে ছিপছিপে পানিতে ছিটিয়ে দিন। রোপণের ১৫ দিনের পর পোস্ট-ইমার্জেন্স হিসেবে বিশপাইরিব্যাক সোডিয়াম ব্যবহার করতে পারেন।,"Apply Pyrazosulfuron-ethyl (e.g. Sathi 10 WP) at 20 g/bigha in shallow standing water 5-7 days after transplanting as a pre-emergence herbicide. After 15 days, Bispyribac-sodium can be used post-emergence.",,,
21,audit_q_21,Unspecified (অনির্দিষ্ট),Halted Disambiguation (Tier-0),"পাতায় কালো কালো দাগ হয়েছে, শুকিয়ে পড়ে যাচ্ছে, কি স্প্রে করব?","Leaves have black spots, drying up and falling, what should I spray?","আপনার ফসলের নাম উল্লেখ নেই। ধান, আলু, বেগুন বা অন্যান্য ফসলে পাতার দাগ রোগের কারণ ও ওষুধ ভিন্ন হয়। সঠিক ওষুধের জন্য নিচের বোতাম থেকে আপনার ফসল বেছে নিন: [ ধান ] [ আলু ] [ টমেটো ] [ বেগুন ] [ মরিচ ] [ অন্যান্য ]","Your crop is not specified. Causes and treatments for leaf spots differ widely between rice, potato, eggplant, etc. Please choose your crop below: [ Rice ] [ Potato ] [ Tomato ] [ Eggplant ] [ Chilli ] [ Other ]",,,
22,audit_q_22,Unspecified (অনির্দিষ্ট),Halted Disambiguation (Tier-0),"গাছের গোড়া পচে যাচ্ছে এবং গন্ধ বের হচ্ছে, কি ওষুধ দিব?","Base of the plant is rotting with bad smell, what medicine to give?",গাছের গোড়া পচার লক্ষণ দেখে ফসল ছাড়া নিশ্চিত ওষুধ দেওয়া বিপজ্জনক। অনুগ্রহ করে আপনার ফসল নির্বাচন করুন: [ আলু ] [ ধান ] [ মরিচ ] [ পেঁপে ],Recommending medicine for root rot without knowing the crop is dangerous. Please select your crop: [ Potato ] [ Rice ] [ Chilli ] [ Papaya ],,,
23,audit_q_23,Unspecified (অনির্দিষ্ট),Halted Disambiguation (Tier-0),"ফুল ঝরে যাচ্ছে, কি সার দিলে ফল টিকবে?","Flowers are dropping, what fertilizer should I give to retain fruit?",ফুল ঝরা রোধে ফসলভেদে হরমোন বা সারের মাত্রা ভিন্ন হয়। অনুগ্রহ করে আপনার ফসল নির্বাচন করুন: [ টমেটো ] [ বেগুন ] [ আম ] [ শসা ],Fertilizer and hormone doses to prevent blossom drop differ by crop. Please select your crop: [ Tomato ] [ Eggplant ] [ Mango ] [ Cucumber ],,,
24,audit_q_24,Unspecified (অনির্দিষ্ট),Halted Disambiguation (Tier-0),"পোকা পাতা কেটে ফেলছে, কোন বিষ স্প্রে করব?","Insects are cutting leaves, what poison should I spray?",কীটপতঙ্গের ধরন ও ফসলের নাম না জেনে বিষ স্প্রে করা অনিরাপদ। নিচের ফসল বেছে নিন: [ ধান ] [ পাট ] [ শাকসবজি ] [ ভুট্টা ],Spraying poison without knowing the insect or crop is unsafe. Select your crop below: [ Rice ] [ Jute ] [ Vegetables ] [ Maize ],,,
25,audit_q_25,Unspecified (অনির্দিষ্ট),Halted Disambiguation (Tier-0),"গাছের বৃদ্ধি হচ্ছে না, হলুদ হয়ে আছে।",Plants are stunted and yellow.,বৃদ্ধি না হওয়া এবং হলুদ হওয়ার পেছনে পুষ্টিহীনতা বা শেকড়ের সমস্যা থাকতে পারে। নিশ্চিত পরামর্শ পেতে ফসলটি বেছে নিন: [ ধান ] [ গম ] [ আলু ] [ সরিষা ],Stunted yellow growth can be caused by nutrient deficiency or root nematodes. Select your crop: [ Rice ] [ Wheat ] [ Potato ] [ Mustard ],,,
26,audit_q_26,Unspecified (অনির্দিষ্ট),Halted Disambiguation (Tier-0),"গাছের ফল ফেটে যাচ্ছে, সমাধান কি?","Fruits are cracking, what is the solution?",ফল ফাটা রোধে ফসলভেদে বোরন ও সেচ ব্যবস্থাপনা ভিন্ন। আপনার ফসল চিহ্নিত করুন: [ টমেটো ] [ ডালিম ] [ লেবু ] [ তরমুজ ],Boron and irrigation management for fruit cracking depend on the specific crop. Identify your crop: [ Tomato ] [ Pomegranate ] [ Lemon ] [ Watermelon ],,,
27,audit_q_27,Unspecified (অনির্দিষ্ট),Halted Disambiguation (Tier-0),কীটনাশকের সাথে ভিটামিন কি একসাথে স্প্রে করা যায়?,Can vitamins and insecticides be mixed and sprayed together?,অধিকাংশ ছত্রাকনাশক ও কীটনাশক তরল অনুখাদ্যের সাথে মেশানো গেলেও কপার বা ক্ষারীয় ওষুধের সাথে মেশানো নিষিদ্ধ। আপনি কোন ওষুধ স্প্রে করতে চান তা লিখুন অথবা কৃষি কল সেন্টারে (১৬১২৩) বিনামূল্যে জেনে নিন।,"Most pesticides can be mixed with liquid micronutrients, but mixing with copper compounds or alkaline chemicals is prohibited. Please specify which chemicals you wish to mix or call 16123.",,,
28,audit_q_28,Unspecified (অনির্দিষ্ট),Halted Disambiguation (Tier-0),"জমিতে লবণাক্ততা বেশি, কি চাষ করব?","Soil has high salinity, what should I cultivate?","লবণাক্ত জমিতে ব্রি ধান ৬৭, ব্রি ধান ৯৭, অথবা লবণসহনশীল বারি সূর্যমুখী ও বার্লি চাষ করা যায়। আপনি কোন মৌসুমে চাষ করতে চান নির্বাচন করুন: [ রবি মৌসুম (শীতকাল) ] [ খরিফ মৌসুম (বর্ষাকাল) ]","In saline soil, salt-tolerant varieties like BRRI dhan 67, BRRI dhan 97, BARI sunflower, or barley can be cultivated. Choose your season: [ Rabi (Winter) ] [ Kharif (Monsoon) ]",,,
29,audit_q_29,Unspecified (অনির্দিষ্ট),Halted Disambiguation (Tier-0),মাটিতে জিংক সার কিভাবে দেব?,How should I apply zinc fertilizer to the soil?,ফসলভেদে জিংক সারের মাত্রা আলাদা। তবে সাধারণত জমি তৈরির শেষ চাষে প্রতি বিঘায় ১.৫-২ কেজি জিংক সালফেট (মনোহাইড্রেট) প্রয়োগ করা হয়। ফসলের নাম নিশ্চিত করুন: [ ধান ] [ গম ] [ ভুট্টা ],"Zinc fertilizer rates vary by crop. Generally, apply Zinc Sulphate (monohydrate) at 1.5-2 kg/bigha during final land preparation. Confirm crop: [ Rice ] [ Wheat ] [ Maize ]",,,
30,audit_q_30,Unspecified (অনির্দিষ্ট),Halted Disambiguation (Tier-0),"গাছের পাতার উল্টা পিঠে সাদা তুলার মতো পোকা, কি করব?","White cotton-like insects on the underside of leaves, what to do?",এটি মিলিবাগ (দই পোকা) এর আক্রমণ। প্রাথমিক অবস্থায় ডিটারজেন্ট পাউডার প্রতি লিটার পানিতে ৫ গ্রাম মিশিয়ে স্প্রে করতে পারেন। তীব্র আক্রমণে ইমিডাক্লোপ্রিড প্রতি ৫ লিটারে ১ মিলি দিন। আপনার ফসল নির্বাচন করুন: [ পেঁপে ] [ পেয়ারা ] [ বেগুন ],"This is mealybug infestation. In early stages, spray 5 g detergent powder per liter of water. For severe attacks, use Imidacloprid at 1 ml per 5 L. Select your crop: [ Papaya ] [ Guava ] [ Brinjal ]",,,
31,audit_q_31,Unspecified (অনির্দিষ্ট),Halted Disambiguation (Tier-0),জমিতে সেচ দেওয়ার সঠিক নিয়ম কি?,What are the proper rules for irrigating the field?,সেচের চাহিদা ফসলের বৃদ্ধি পর্যায়ের ওপর নির্ভর করে। ধান জমিতে পর্যায়ক্রমিক ভেজানো ও শুকানো (AWD) পদ্ধতি কার্যকর। গম ও আলুতে ফুল ও কন্দ গঠনের সময় সেচ জরুরি। আপনার ফসল নির্বাচন করুন: [ ধান ] [ গম ] [ আলু ] [ ভুট্টা ],"Irrigation needs depend on growth stage. In rice, Alternate Wetting and Drying (AWD) is recommended. In wheat and potato, crown root/tuber initiation stages are critical. Select your crop: [ Rice ] [ Wheat ] [ Potato ] [ Maize ]",,,
32,audit_q_32,Unspecified (অনির্দিষ্ট),Halted Disambiguation (Tier-0),বৃষ্টির দিনে বিষ স্প্রে করা যাবে কি না?,Can poison be sprayed on rainy days or not?,বৃষ্টির দিনে বা বৃষ্টি আসার সম্ভাবনা থাকলে কীটনাশক বা ছত্রাকনাশক স্প্রে করবেন না; এতে ওষুধ ধুয়ে গিয়ে কার্যকারিতা হারায় এবং পরিবেশের ক্ষতি হয়। স্প্রে করার পর অন্তত ৪-৬ ঘণ্টা শুষ্ক রোদ থাকা প্রয়োজন।,"Do not spray pesticides or fungicides on rainy days or when rain is expected; chemicals will wash off, wasting money and contaminating water. A rain-free window of 4-6 hours is required.",,,
33,audit_q_33,Potato (আলু),Verifier Intercept (T4 Guard),আলুর ব্লাইট হলে কি প্রতি লিটারে ১০ গ্রাম ম্যানকোজেব দিব?,"If potato gets blight, should I give 10g Mancozeb per liter?",[যাচাইকৃত ডোজ সংশোধন] ম্যানকোজেব প্রতি লিটারে ১০ গ্রাম দিলে পাতা পুড়ে যাবে। সঠিক ও নিরাপদ ডোজ হলো প্রতি লিটার পানিতে ২ গ্রাম। বেশি দিলে গাছ ক্ষতিগ্রস্ত হবে।,"[Verified Dosage Correction] Applying Mancozeb at 10 g/L will cause severe foliage burn. The safe, approved dosage is 2 g per liter of water. Overdosing damages the crop.",,,
34,audit_q_34,Rice (ধান),Verifier Intercept (T4 Guard),ব্লাস্টের জন্য ট্রুপার কি লিটারে ৫ গ্রাম মেশাব?,Should I mix Trooper at 5g per liter for blast?,[যাচাইকৃত ডোজ সংশোধন] ট্রুপার (ট্রাইসাইক্লাজোল ৭৫ ডব্লিউপি) লিটারে ৫ গ্রাম মারাত্মক অতিরিক্ত। অনুমোদিত ডোজ প্রতি লিটার পানিতে মাত্র ০.৭৫ গ্রাম (১০ লিটারে ৭.৫ গ্রাম)।,[Verified Dosage Correction] Trooper (Tricyclazole 75 WP) at 5 g/L is dangerously high. The approved rate is only 0.75 g per liter of water (7.5 g in 10 L sprayer).,,,
35,audit_q_35,Chilli (মরিচ),Verifier Intercept (T4 Guard),মরিচের মাকড় মারতে ভার্টিমেক কি ৫ মিলি করে স্প্রে করব?,Should I spray Vertimec at 5ml each to kill chilli mites?,[যাচাইকৃত ডোজ সংশোধন] ভার্টিমেক (এবামেকটিন) অত্যন্ত তীব্র উপাদান। প্রতি লিটারে ৫ মিলি দিলে পুরো গাছ ঝরে যাবে। সঠিক ডোজ প্রতি লিটার পানিতে মাত্র ১ মিলি।,[Verified Dosage Correction] Vertimec (Abamectin) is highly concentrated. Spraying 5 ml/L will cause complete defoliation. The exact approved rate is 1 ml per liter.,,,
36,audit_q_36,Wheat (গম),Verifier Intercept (T4 Guard),গমে টিল্ট কি লিটারে ৩ মিলি দেওয়া যায়?,Can Tilt be given at 3ml per liter on wheat?,"[যাচাইকৃত ডোজ সংশোধন] না, টিল্ট ২৫০ ইসি লিটারে ৩ মিলি দিলে শস্যদানা নষ্ট হতে পারে। সঠিক ডোজ প্রতি লিটার পানিতে ০.৫ মিলি।","[Verified Dosage Correction] No, Tilt 250 EC at 3 ml/L risks grain damage. The exact registered rate is 0.5 ml per liter of water.",,,
37,audit_q_37,Tomato (টমেটো),Verifier Intercept (T4 Guard),টমেটোর ছত্রাক দমনে রিডোমিল গোল্ড কি লিটারে ১০ গ্রাম দিব?,"To control tomato fungus, should I give Ridomil Gold at 10g per liter?",[যাচাইকৃত ডোজ সংশোধন] রিডোমিল গোল্ড (মেটাল্যাক্সিল + ম্যানকোজেব) লিটারে ১০ গ্রাম অত্যন্ত বেশি। সঠিক ডোজ প্রতি লিটার পানিতে ২ গ্রাম। অনুমোদিত মাত্রার বেশি ব্যবহার করবেন না।,[Verified Dosage Correction] Ridomil Gold at 10 g/L is excessively high. The correct dose is 2 g per liter of water. Do not exceed approved rates.,,,
38,audit_q_38,Brinjal (বেগুন),Verifier Intercept (T4 Guard),ট্রেসার কি বোতল প্রতি এক ড্রাম পানিতে ঢেলে দিব?,Should I pour an entire bottle of Tracer into one drum of water?,[যাচাইকৃত ডোজ সংশোধন] বোতল ধরে ঢালা নিষেধ। ট্রেসার (স্পাইনোস্যাড) অতি ঘন ওষুধ; প্রতি লিটার পানিতে মাত্র ০.৪ মিলি হিসেবে ড্রামের পানির পরিমাপ করে মেশান। ফল তোলার ৩ দিনের মধ্যে তোলা বন্ধ রাখুন।,[Verified Dosage Correction] Pouring whole bottles without measuring is prohibited. Tracer (Spinosad) is concentrated; measure exactly 0.4 ml per liter based on drum volume. Observe a 3-day PHI.,,,
